,Title,Author,Publication,Format,ISBN,Series,Physical Details,Source
4123,"""advances in web-based learning -- icwl 2015 : 14th international conference, guangzhou, china, november 5-8, 2015, proceedings""","""li, frederick w. b. | klamma, ralf. | laanpere, mart. | zhang, jun. | manjã³n, baltasar fernã¡ndez. | lau, rynson w. h.""","""cham""","""electronic books.""",9783319255156,"""lecture notes in computer science ; 9412. 0302-9743 lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource (xiii, 280 p.)""",b
4125,"""oceanographic and marine cross-domain data management for sustainable development""","""diviacco, paolo, | leadbetter, adam, | glaves, helen,""","""hershey, pa""","""electronic books.""",9781522507017,"""advances in environmental engineering and green technologies (aeegt) book series.""","""1 online resource.""",b
4126,"""jsl companion : applications of the jmp scripting language""","""utlaut, theresa l.""","""cary, nc""","""electronic books.""",9781612900940,"""nan""","""1 online resource""",b
4127,"""jsl companion : applications of the jmp scripting language""","""utlaut, theresa l.""","""cary, nc""","""electronic books.""",9781612900940,"""nan""","""1 online resource""",b
4128,"""service-oriented computing : icsoc 2010 international workshops, paasc, wesoa, see, and soc-log, san francisco, ca, usa, december 7-10, 2010 : revised selected papers""","""maximilien, e. michael.""","""berlin ; springer, c2011.""","""electronic books. | conference papers and proceedings.""",9783642193941,"""lecture notes in computer science ; 6568. 0302-9743 lecture notes in computer science. services science. lncs sublibrary. sl 2, programming and software engineering.""","""1 online resource (xiii, 266 p.)""",b
4129,"""crisp and soft computing with hypercubical calculus : new approaches to modeling in cognitive science and technology with parity logic, fuzzy logic, and evolutionary computing""","""zaus, michael.""","""heidelberg""","""electronic books.""",9783790818796,"""studies in fuzziness and soft computing ; 27.""","""1 online resource (xviii, 425 pages).""",b
4130,"""security and privacy in mobile social networks""","""liang, xiaohui,""","""new york""","""electronic books.""",9781461488576,"""springerbriefs in computer science.""","""1 online resource (viii, 100 pages).""",b
4131,"""acidic deposition and forest soils : context and case studies of the southeastern united states""","""binkley, dan.""","""new york, ny""","""electronic books.""",9781461235866,"""ecological studies, analysis and synthesis, ; 72.""","""1 online resource (viii, 149 pages)""",b
4132,"""tex in practice : volume ii: paragraphs, math and fonts""","""bechtolsheim, stephan.""","""new york, ny""","""electronic books.""",9781461391395,"""monographs in visual communication.""","""1 online resource (xl, 368 pages).""",b
4133,"""sigma : a knowledge-based aerial image understanding system""","""matsuyama, takashi, 1951-""","""new york""","""electronic books.""",9781489908674,"""advances in computer vision and machine intelligence.""","""1 online resource (xvi, 277 pages)""",b
4134,"""semantic methods for execution-level business process modeling : modeling support through process verification and service composition""","""weber, ingo m.""","""berlin ; springer-verlag, â©2009.""","""electronic books.""",9783642050855,"""lecture notes in business information processing ; 40.""","""1 online resource.""",b
4135,"""advances in digital forensics vii : 7th ifip wg 11.9 international conference on digital forensics, orlando, fl, usa, january 31 -february 2, 2011 : revised selected papers""","""peterson, gilbert, | shenoi, sujeet.""","""heidelberg ; ifip international federation for information processing, â©2011.""","""electronic books. | conference papers and proceedings.""",9783642242120,"""ifip advances in information and communication technology ; 361.""","""1 online resource (xviii, 285 pages)""",b
4136,"""the hungarian language in the digital age = a magyar nyelv a digitã¡lis korban""","""eszter, simon. | rehm, georg. | uszkoreit, hans.""","""berlin ; springer, â©2012.""","""electronic books.""",9783642303791,"""nan""","""1 online resource.""",b
4137,"""the mathematics of encryption : an elementary introduction""","""cozzens, margaret b.""","""providence, rhode island""","""history. | textbooks.""",9780821883211,"""mathematical world ; v. 29.""","""xvii, 332 pages""",b
4138,"""algorithmic problems of group theory, their complexity, and applications to cryptography""","""kahrobaei, delaram, | shpilrain, vladimir,""","""providence, rhode island""","""electronic books. | conference proceedings.""",9781470422639,"""contemporary mathematics (american mathematical society) ; v. 633.""","""1 online resource (vii, 123 pages).""",b
4139,"""formal description techniques viii : proceedings of the ifip tc6 eighth international conference on formal description techniques, montreal, canada, october 1995""","""bochmann, gregor von, | dssouli, r. | rafiq, omar,""","""cham""","""electronic books. | conference papers and proceedings.""",9780387349459,"""ifip advances in information and communication technology, 1868-4238""","""1 online resource (xiv, 452 pages).""",b
4140,"""structural equation modeling""","""bowen, natasha k.""","""oxford ; oxford university press, â©2012.""","""nan""",9780195367621,"""pocket guides to social work research methods.""","""217 pages""",b
4141,"""2009 international workshop on intelligent systems and applications : wuhan, china, 23-24 may, 2009""","""wang, chunzhi. | ye, zhiwei.""","""[piscataway, n.j.]""","""electronic books. | conference papers and proceedings.""",9781424438945,"""nan""","""1 online resource""",b
4142,"""proceedings of the 2nd workshop on communication security : cryptography and physical layer security""","""baldi, marco. | tomasin, stefano. | quaglia, elizabeth a.""","""cham""","""electronic books. | conference papers and proceedings.""",9783319592657,"""lecture notes in electrical engineering ; v. 447.""","""1 online resource.""",b
