,Title,Author,Publication,Format,ISBN,Series,Physical Details,Source
895,"""data mining techniques for the life sciences""","""edited by oliviero carugo, frank eisenhaber""","""new york, n.y. : humana press, [2010] ©2010""","""books""",9781603272407,"""springer protocols (series) methods in molecular biology (clifton, n.j.) ; v. 609. 1064-3745""","""xii, 407 pages""",ab
896,"""agent-based models and complexity science in the age of geospatial big data : selected papers from a workshop on agent-based models and complexity science (giscience 2016)""","""liliana perez, eun-kyeong kim, raja sengupta, editors""","""cham : springer, c2018.""","""electronic books.""",9783319659930,"""advances in geographic information science,""","""1 online resource (111 p.).""",ab
897,"""informatics for materials science and engineering : data-driven discovery for accelerated experimentation and application""","""edited by krishna rajan""","""1st ed. oxford : butterworth-heinemann, 2013.""","""electronic books.""",9780123946140,"""nan""","""1 online resource (xv, 525 pages)""",ab
1801,"""data analysis and statistics for geography, environmental science, and engineering""","""acevedo, miguel f.""","""boca raton : crc press, [2013] ©2013""","""books""",9781439885017,"""nan""","""xxi, 535 p.""",ab
1802,"""data analysis and statistics for geography, environmental science, and engineering""","""acevedo, miguel f.""","""boca raton : crc press, [2013] ©2013""","""electronic books.""",9781439885017,"""nan""","""1 online resource (xxi, 523 pages)""",ab
1804,"""health web science : social media data for healthcare""","""denecke, kerstin""","""cham : springer, 2015.""","""electronic books.""",9783319205823,"""health information science,""","""1 online resource (168 pages)""",ab
1806,"""multivariate data analysis in sensory and consumer science""","""by garmt b. dijksterhuis""","""trumbull, conn. : food & nutrition press, [1997] ©1997""","""electronic books.""",9780917678417,"""publications in food science and nutrition,""","""1 online resource (320 p.)""",ab
1807,"""multivariate data analysis in sensory and consumer science""","""by garmt b. dijksterhuis""","""trumbull, conn. : food & nutrition press, [1997] ©1997""","""electronic books.""",9780470385050,"""publications in food science and nutrition,""","""1 online resource (320 p.)""",ab
2714,"""annotated bibliography of films in automation, data processing, and computer science""","""[by] martin b. solomon, jr., and nora geraldine lovan""","""[lexington] university of kentucky press, 1967.""","""electronic books. | film catalogs.""",9780813165202,"""nan""","""1 online resource (45 pages)""",ab
2719,"""exploring data in engineering, the sciences, and medicine""","""pearson, ronald k., 1952-""","""new york : oxford university press, [2011]""","""books""",9780195089653,"""nan""","""xv, 770 p.""",ab
2722,"""the art and science of analyzing software data""","""edited by christian bird, tim menzies, thomas zimmermann""","""waltham, ma : morgan kaufmann, [2015] ©2015""","""electronic books.""",9780124115194,"""nan""","""1 online resource""",ab
2724,"""the art and science of analyzing software data""","""edited by christian bird, tim menzies, thomas zimmermann""","""waltham, ma : morgan kaufmann, [2015] ©2015""","""electronic books.""",9780124115194,"""nan""","""1 online resource""",ab
2726,"""the art and science of analyzing software data""","""edited by christian bird, tim menzies, thomas zimmermann""","""waltham, ma : morgan kaufmann, [2015] ©2015""","""electronic books.""",9780124115194,"""nan""","""1 online resource""",ab
2727,"""the cambridge handbook of earth science data""","""paul henderson, gideon m. henderson""","""cambridge, uk ; new york : cambridge university press, 2009.""","""books""",9780521693172,"""nan""","""viii, 277 p.""",ab
2728,"""effective conservation science : data not dogma""","""edited by peter kareiva, michelle marvier, brian silliman""","""first edition. oxford, united kingdom : oxford university press, [2018] ©2018""","""books""",9780198808978,"""nan""","""xiv, 384 pages""",ab
2730,"""intelligent science and intelligent data engineering : third sino-foreign-interchange workshop, iscide 2012, nanjing, china, october 15-17, 2012, revised selected papers""","""yang, jian, | fang, fang. | sun, changyin.""","""berlin ; new york : springer, [2013] ©2013""","""electronic books. | conference papers and proceedings.""",9783642366697,"""lecture notes in computer science ; 7751. lncs sublibrary. sl 6, image processing, computer vision, pattern recognition, and graphics.""","""1 online resource.""",ab
2736,"""just plain data analysis : finding, presenting, and interpreting social science data""","""klass, gary m., 1952-""","""second edition. lanham, md. : rowman & littlefield publishers, [2012] ©2012""","""books""",9781442215078,"""nan""","""xxiii, 161 p.""",ab
2737,"""just plain data analysis : finding, presenting, and interpreting social science data""","""klass, gary m., 1952-""","""lanham, md. : rowman & littlefield publishers, [2008] ©2008""","""books""",9780742560529,"""nan""","""xxiii, 161 p.""",ab
2738,"""just plain data analysis : finding, presenting, and interpreting social science data""","""klass, gary m., 1952-""","""second edition. lanham : rowman & littlefield publishers, [2012] ©2012""","""books""",9781442215092,"""nan""","""xxiii, 161 p.""",ab
2746,"""profit from science : solving business problems using data, math, and the scientific process""","""danner, george e.""","""first edition. new york, ny : palgrave macmillan, 2015. ©2015.""","""books""",9781137474841,"""nan""","""xii, 236 pages""",ab
2747,"""learn computer science with swift : computation concepts, programming paradigms, data management, and modern component architectures with swift and playgrounds""","""feiler, jesse""","""[berkeley, ca] : apress, 2018.""","""electronic books.""",9781484230664,"""nan""","""1 online resource""",ab
2748,"""data driven e-science : use cases and successful applications of distributed computing infrastructures (isgc 2010)""","""simon c. lin, eric yen, editors""","""new york : springer, [2011] ©2011""","""electronic books. | conference papers and proceedings.""",9781441980144,"""nan""","""1 online resource (xxii, 517 pages)""",ab
2751,"""theory-based data analysis for the social sciences""","""aneshensel, carol s.""","""thousand oaks, calif. : pine forge press, [2002] ©2002""","""electronic books.""",9780761987369,"""pine forge press series in research methods and statistics,""","""1 online resource (xxii, 254 p.)""",ab
2753,"""the uses and misuses of data and models : the mathematization of the human sciences""","""w. james bradley, kurt c. schaefer""","""thousand oaks, calif. : sage publications, [1998] ©1998""","""electronic books.""",9780761909217,"""nan""","""1 online resource (xii, 212 pages)""",ab
2754,"""earth science puzzles : making meaning from data""","""kim kastens, margie turrin""","""arlington, va. : nsta press, ©2010.""","""books""",9781935155157,"""nan""","""xxvi, 186 p.""",ab
2755,"""theory-based data analysis for the social sciences""","""aneshensel, carol s.""","""thousand oaks, calif. : pine forge press, [2002] ©2002""","""electronic books.""",9780761987369,"""pine forge press series in research methods and statistics,""","""1 online resource (xxiii, 446 pages)""",ab
2756,"""geomatic methods for the analysis of data in the earth sciences""","""athanasios dermanis, armin grün, fernando sansò (eds.)""","""berlin ; new york : springer, [2000] ©2000""","""electronic books.""",9783540674764,"""lecture notes in earth sciences. 95,lecture notes in earth system sciences,""","""1 online resource (xiv, 262 pages).""",ab
2757,"""spss essentials : managing and analyzing social sciences data""","""kulas, john t.""","""second edition. san francisco, ca : jossey-bass, [2009] ©2009""","""books""",9780470226179,"""nan""","""x, 259 p.""",ab
2759,"""question evaluation methods : contributing to the science of data quality""","""edited by jennifer madans [and others]""","""hoboken, n.j. : wiley, [2011] ©2011""","""books""",9781118036983,"""wiley series in survey methodology,""","""xii, 364 p.""",ab
2760,"""question evaluation methods : contributing to the science of data quality""","""jennifer madans ... [and others]""","""hoboken, n.j. : john wiley & sons, [2011] ©2011""","""books""",9780470769485,"""wiley series in probability and statistics,""","""xii, 364 p.""",ab
2762,"""question evaluation methods : contributing to the science of data quality""","""edited by jennifer madans [and others]""","""hoboken, n.j. : wiley, [2011] ©2011""","""books""",9781118036983,"""wiley series in survey methodology,""","""1 online resource (xii, 364 pages)""",ab
2763,"""question evaluation methods : contributing to the science of data quality""","""jennifer madans ... [and others]""","""hoboken, n.j. : john wiley & sons, [2011] ©2011""","""books""",9780470769485,"""wiley series in probability and statistics,""","""1 online resource (xii, 364 pages)""",ab
2765,"""question evaluation methods : contributing to the science of data quality""","""edited by jennifer madans [and others]""","""hoboken, n.j. : wiley, [2011] ©2011""","""electronic books.""",9781118036983,"""wiley series in survey methodology,""","""1 online resource (xii, 364 pages)""",ab
