	Title	Author	Publication	Format	ISBN	Series	Physical Details
241	Scala : guide for data science professionals : Scala will be a valuable tool to have on hand during your data science journey for everything from data cleaning to cutting-edge...	Bugnion, Pascal	Birmingham, UK	Electronic books.	9781787281035 1787281035		1 online resource
242	Scala : guide for data science professionals : Scala will be a valuable tool to have on hand during your data science journey for everything from data cleaning to cutting-edge...	Bugnion, Pascal	Birmingham, UK	Electronic books.	9781787281035 1787281035		1 online resource
245	Spark for data science : analyze your data and delve deep into the world of machine learning with the latest Spark version, 2.0  	Duvvuri, Srinivas	Birmingham, UK	Electronic books.	9781785884771 1785884778		1 online resource
247	Analytics in a big data world : the essential guide to data science and its applications  	Baesens, Bart.	Hoboken, New Jersey	Electronic books.	9781119204183 electronic bk.1119204186 electronic bk.9781118892718 electronic bk.1118892712 electronic bk.9781118892749 electronic bk.1118892747 electronic bk. cloth	Wiley and SAS business series.	1 online resource.
248	Simulation for data science with R : harness actionable insights from your data with computational statistics and simulations using R  	Templ, Matthias	Birmingham, UK	Electronic books.	9781785885877 1785885871	Community experience distilled.	1 online resource
249	Principles of data science : learn the techniques and math you need to start making sense of your data  	Ozdemir, Sinan	Birmingham, UK	Electronic books.	9781785888922 1785888927		1 online resource
251	Java : data science made easy : data collection, processing, analysis, and more : a course in two modules. 	Reese, Richard M.	Birmingham, UK	Electronic books.	9781788479189 1788479181		1 online resource
252	Hands-on data science and Python machine learning : perform data mining and machine learning efficiently using Python and Spark  	Kane, Frank	Birmingham, UK	Electronic books.	9781787280229 1787280225		1 online resource
253	Statistics for data science : leverage the power of statistics for data analysis, classification, regression, machine learning, and neural networks  	Miller, James D., (Software consultant)	Birmingham, UK	Electronic books.	9781788295345 178829534X		1 online resource
256	Simulation for data science with R : harness actionable insights from your data with computational statistics and simulations using R  	Templ, Matthias	Birmingham, UK	Electronic books.	9781785885877 1785885871	Community experience distilled.	1 online resource
257	Spark for data science : analyze your data and delve deep into the world of machine learning with the latest Spark version, 2.0  	Duvvuri, Srinivas	Birmingham, UK	Electronic books.	9781785884771 1785884778		1 online resource
